CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
05080890;La Garonne à Bourdelles;;461448;6388210;26;RGF93 / Lambert 93;33066;Bourdelles;33;Gironde;75;Nouvelle-Aquitaine;FR301A;;;;;;;;O9190000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-04-27;;2021-03-01;Evaluation;Bourdelles aval confluence avec le Lisos;M;Station de mesure Manuelle;15;;;;
05081000;La Garonne à Couthures;;468093;6383230;26;RGF93 / Lambert 93;47074;Couthures-sur-Garonne;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR301A;;;;;;;;O9130000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-11;;Pont du CD3 près de Couthures;M;Station de mesure Manuelle;13;;;;
05083580;La Garonne au Mas d'Agenais;;478904;6371920;26;RGF93 / Lambert 93;47159;Le Mas-d'Agenais;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR301B;;;;;;;;O9060000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2018-04-11;;Pont de la D6 au Mas d'Agenais;M;Station de mesure Manuelle;18;;;;
05104000;La Garonne en amont du Lot;;486212;6358050;26;RGF93 / Lambert 93;47004;Aiguillon;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;;;;;;;;O6930000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-04-03;;Pont de la N642 à St-Léger en amont du Lot;M;Station de mesure Manuelle;23;;;;
05111500;La Garonne à Port Ste-Marie;;491863;6353390;26;RGF93 / Lambert 93;47210;Port-Sainte-Marie;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;;;;;;;;O6450000;O---0000;;2;Station qualité située sur un cours d'eau;;1993-01-01;;2018-04-13;;Pont de la D213 à Port Ste-Marie;M;Station de mesure Manuelle;28;;;;
05112000;La Garonne en aval d'Agen;;508685;6348360;26;RGF93 / Lambert 93;47001;Agen;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;;;;;;;;;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2019-09-18;;Niveau de l'aqueduc du Canal Latéral à Agen;M;Station de mesure Manuelle;45;;;;
05112195;La Garonne à Agen (station RHP 05471013);;509040;6346720;26;RGF93 / Lambert 93;47001;Agen;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;;;;;;;;O6400000;O---0000;;2;Station qualité située sur un cours d'eau;;2010-01-01;;2022-10-06;;inconnue;M;Station de mesure Manuelle;45;;;;
05113000;La Garonne en amont d'Agen;;509659;6343380;26;RGF93 / Lambert 93;47031;Boé;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;;;;;;;;O6400000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-25;;A l'Ecussan, commune de Boé en amont d'Agen;M;Station de mesure Manuelle;43;;;;
05116530;La Garonne à Lafox;;516621;6342490;26;RGF93 / Lambert 93;47128;Lafox;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300B;;;;;;;;O6160000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-01-01;;2022-10-10;Autre;Au pont de la D308;M;Station de mesure Manuelle;47;;;;
05117000;La Garonne à Lamagistère;;525386;6338460;26;RGF93 / Lambert 93;82049;Donzac;82;Tarn-et-Garonne;76;Occitanie;FR300B;;;;;;;;O6140000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-04-03;;Pont de Lamagistère;M;Station de mesure Manuelle;48;;;;
05118880;La Garonne à St-Loup;;529701;6334780;26;RGF93 / Lambert 93;82165;Saint-Loup;82;Tarn-et-Garonne;76;Occitanie;FR300C;;;;;;;;O6010000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-01-01;;2015-03-11;Evaluation;Au pont de la D953;M;Station de mesure Manuelle;55;;;;
05118950;La Garonne à St-Nicolas de la Grave;;542126;6334520;26;RGF93 / Lambert 93;82169;Saint-Nicolas-de-la-Grave;82;Tarn-et-Garonne;76;Occitanie;FR300C;;;;;;;;O6000000;O---0000;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2018-04-13;;Pont de Coudol à St-Nicolas de la Grave;M;Station de mesure Manuelle;63;;;;
05152000;La Garonne à St-Aignan;;546032;6326710;26;RGF93 / Lambert 93;82033;Castelsarrasin;82;Tarn-et-Garonne;76;Occitanie;FR296A;;;;;;;;O2900000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-04-03;Evaluation;Pont de la D12 à St-Aignan;M;Station de mesure Manuelle;69;;;;
05154250;La Garonne à Bourret;;553270;6318800;26;RGF93 / Lambert 93;82023;Bourret;82;Tarn-et-Garonne;76;Occitanie;FR296A;;;;;;;;O2680000;O---0000;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2023-04-03;;Pont de la N128 à Bourret;M;Station de mesure Manuelle;84;;;;
05154500;La Garonne à Verdun-sur-Garonne;;558727;6307670;26;RGF93 / Lambert 93;82190;Verdun-sur-Garonne;82;Tarn-et-Garonne;76;Occitanie;FR296A;;;;;;;;O2620000;O---0000;;2;Station qualité située sur un cours d'eau;;1973-01-01;;2018-04-20;;Pont de la D6 à Verdun-sur-Garonne;M;Station de mesure Manuelle;95;;;;
05154800;La Garonne à Mauvers;;559735;6302940;26;RGF93 / Lambert 93;82190;Verdun-sur-Garonne;82;Tarn-et-Garonne;76;Occitanie;FR296A;;;;;;;;O2620000;O---0000;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2001-07-20;;Pont de la D52 à Mauvers;M;Station de mesure Manuelle;96;;;;
05156700;La Garonne à Ondes;;563702;6299090;26;RGF93 / Lambert 93;31403;Ondes;31;Haute-Garonne;76;Occitanie;FR296A;;;;;;;;O2370000;O---0000;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2001-07-20;;Pont d'Ondes;M;Station de mesure Manuelle;106;;;;
05161000;La Garonne en aval de Toulouse;;568436;6290400;26;RGF93 / Lambert 93;31205;Gagnac-sur-Garonne;31;Haute-Garonne;76;Occitanie;FR296B;;;;;;;;O2090000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-05-16;;Pont de la D63 à Gagnac sur Garonne;M;Station de mesure Manuelle;113;;;;
05161900;La Garonne à Blagnac;;570912;6281960;26;RGF93 / Lambert 93;31555;Toulouse;31;Haute-Garonne;76;Occitanie;FR296B;;;;;;;;O2090000;O---0000;;2;Station qualité située sur un cours d'eau;;1972-01-01;;2001-07-20;;Pont de la D1 à Blagnac;M;Station de mesure Manuelle;123;;;;
05163000;La Garonne dans Toulouse (St-Pierre);;573655;6279350;26;RGF93 / Lambert 93;31555;Toulouse;31;Haute-Garonne;76;Occitanie;FR296B;;;;;;;;O2000000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2001-07-20;;Pont St-Pierre dans Toulouse;M;Station de mesure Manuelle;132;;;;
05163290;La Garonne à l'entrée dans Toulouse;;573697;6276060;26;RGF93 / Lambert 93;31555;Toulouse;31;Haute-Garonne;76;Occitanie;FR296B;;;;;;;;O2000000;O---0000;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2018-04-20;;Pont de la Poudrerie sur le bras supérieur;M;Station de mesure Manuelle;137;;;;
05174000;La Garonne en amont de l'Ariège;;569591;6269450;26;RGF93 / Lambert 93;31433;Portet-sur-Garonne;31;Haute-Garonne;76;Occitanie;FR252A;;;;;;;;O0980000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-09-04;Evaluation;Pont de la N20 à Pinsaguel;M;Station de mesure Manuelle;143;;;;
05175400;La Garonne au Pont vieux de Muret;;564595;6263540;26;RGF93 / Lambert 93;31395;Muret;31;Haute-Garonne;76;Occitanie;FR252A;;;;;;;;O0820000;O---0000;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2013-12-03;;De part et d'autre du Pont vieux de Muret;M;Station de mesure Manuelle;153;;;;
05175800;La Garonne à Marquefave;;557517;6248020;26;RGF93 / Lambert 93;31320;Marquefave;31;Haute-Garonne;76;Occitanie;FR252A;;;;;;;;O0800000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2023-09-11;Evaluation;Pont de la D48 à Marquefave;M;Station de mesure Manuelle;189;;;;
05176200;La Garonne à Carbonne;;555199;6245070;26;RGF93 / Lambert 93;31107;Carbonne;31;Haute-Garonne;76;Occitanie;FR252B;;;;;;;;O0660000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-04-27;;2022-11-29;Evaluation;Pont de la D 627 en amont de Carbonne;M;Station de mesure Manuelle;194;;;;
05177000;La Garonne à Cazères;;544488;6235740;26;RGF93 / Lambert 93;31135;Cazères;31;Haute-Garonne;76;Occitanie;FR252B;;;;;;;;O0600000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-04-03;;Pont de la D7 à Cazères;M;Station de mesure Manuelle;228;;;;
05177600;La Garonne à Boussens (Pont de la déviation de la N117);;535167;6232600;26;RGF93 / Lambert 93;31457;Roquefort-sur-Garonne;31;Haute-Garonne;76;Occitanie;FR252B;;;;;;;;O0600000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2023-02-14;Impact d'un rejet industriel;Au niveau de la passerelle à Boussens;M;Station de mesure Manuelle;266;;;;
05180900;La Garonne à Boussens (Pont de la D13);;534139;6231220;26;RGF93 / Lambert 93;31084;Boussens;31;Haute-Garonne;76;Occitanie;FR251;;;;;;;;O0290000;O---0000;;2;Station qualité située sur un cours d'eau;;2006-01-01;;2020-02-28;;Pont de la D13 au niveau de Mancioux;M;Station de mesure Manuelle;274;;;;
05181000;La Garonne à Labarthe Inard;;524137;6224090;26;RGF93 / Lambert 93;31372;Montespan;31;Haute-Garonne;76;Occitanie;FR251;;;;;;;;O0280000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2020-02-28;;Pont de la D88 à Labarthe Inard;M;Station de mesure Manuelle;320;;;;
05181800;La Garonne à Valentine;;513145;6224760;26;RGF93 / Lambert 93;31483;Saint-Gaudens;31;Haute-Garonne;76;Occitanie;FR251;;;;;;;;;O---0000;;2;Station qualité située sur un cours d'eau;;1972-01-01;;2020-02-28;;Pont de la D8 à Valentine;M;Station de mesure Manuelle;363;;;;
05183848;La Garonne à Loures-Barousse;;505095;6217240;26;RGF93 / Lambert 93;65287;Loures-Barousse;65;Hautes-Pyrénées;76;Occitanie;FR178;;;;;;;;O0090000;O---0000;;2;Station qualité située sur un cours d'eau;;2016-01-01;;2015-03-11;Evaluation;En amont du pont de la D33d;M;Station de mesure Manuelle;440;;;;
05183900;La Garonne en aval de la Pique;;507823;6207280;26;RGF93 / Lambert 93;31139;Chaum;31;Haute-Garonne;76;Occitanie;FR178;;;;;;;;O0050000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2023-04-03;;Pont de la N125 à Chaum;M;Station de mesure Manuelle;479;;;;
05183970;La Garonne au Plan d'Arem;;515303;6198000;26;RGF93 / Lambert 93;31190;Fos;31;Haute-Garonne;76;Occitanie;FR178;;;;;;;;O0010000;O---0000;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2023-06-13;;Environ 300 m en aval du barrage du Plan d'Arem;M;Station de mesure Manuelle;561;;;;
05184000;La Garonne au Pont du Roi;;514760;6197080;26;RGF93 / Lambert 93;31190;Fos;31;Haute-Garonne;76;Occitanie;FR178;;;;;;;;O0010000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2022-11-21;Evaluation;Pont de la N618C au Pont du Roi;M;Station de mesure Manuelle;578;;;;
